partition_set_id,partition_id,num_nodes,total_priority,num_edges,total_length_feet
0,0,53,32.188999999999986,120,76170.4287326583
0,1,66,56.94400000000005,192,78032.88221903493
0,2,57,27.191999999999982,126,84448.23620356566
0,3,25,11.65099999999999,50,36097.10840542081
0,4,148,167.27999999999966,372,180745.93761166368
0,5,85,108.54100000000003,192,110964.8150342594
0,6,91,88.25000000000004,252,97538.9917759009
0,7,62,39.27500000000002,142,67686.07473211848
1,0,53,32.188999999999986,120,76170.4287326583
1,1,66,56.94400000000005,192,78032.88221903493
1,2,57,27.191999999999982,126,84448.23620356566
1,3,25,11.65099999999999,50,36097.10840542081
1,4,148,167.27999999999966,372,180745.93761166368
1,5,85,108.54100000000003,192,110964.8150342594
1,6,91,88.25000000000004,252,97538.9917759009
1,7,62,39.27500000000002,142,67686.07473211848
2,0,53,32.188999999999986,120,76170.4287326583
2,1,66,56.94400000000005,192,78032.88221903493
2,2,57,27.191999999999982,126,84448.23620356566
2,3,25,11.65099999999999,50,36097.10840542081
2,4,148,167.27999999999966,372,180745.93761166368
2,5,85,108.54100000000003,192,110964.8150342594
2,6,91,88.25000000000004,252,97538.9917759009
2,7,62,39.27500000000002,142,67686.07473211848
